EmpID,ProjectID,DateFrom,DateTo
173,12,2019-11-27,2020-06-20
157,19,2015-02-23,2015-05-19
135,16,2012-04-14,2014-09-08
143,15,2014-10-15,2014-11-23
190,14,2017-04-07,2019-10-04
137,19,2017-08-08,NULL
131,10,2010-01-12,2012-02-02
135,14,2018-10-17,2020-12-10
118,10,2019-01-18,2020-10-08
135,17,2015-08-09,2015-11-20
121,11,2019-08-31,2019-12-25
179,18,2011-12-18,2013-12-25
115,14,2019-04-14,2021-04-25
182,16,2009-03-11,2011-08-25
184,16,2014-06-25,2016-08-08
193,12,2015-07-09,2017-11-16
132,18,2008-03-07,2009-11-04
100,13,2013-09-20,2014-04-26
187,15,2010-11-29,2012-11-22
117,12,2017-02-11,2018-04-02
